grid_lat,grid_lon,latitude,longitude,detection_count,unique_days,first_detection,last_detection,detections_per_day
43.2,-80.0,43.28136648648649,-79.80808675675675,37,2,2025-10-12,2025-10-13,18.5
29.6,-95.2,29.731501470588235,-95.07947529411764,34,2,2025-10-12,2025-10-13,17.0
41.6,-87.60000000000001,41.65254363636364,-87.40216303030303,33,1,2025-10-12,2025-10-12,33.0
41.2,-82.0,41.45872392857143,-81.67889178571427,28,2,2025-10-12,2025-10-13,14.0
42.800000000000004,-80.4,42.80999461538462,-80.10171576923078,26,2,2025-10-12,2025-10-13,13.0
41.6,-87.2,41.63600760000001,-87.1382944,25,2,2025-10-12,2025-10-13,12.5
30.8,-86.4,30.871849545454552,-86.35467227272729,22,2,2025-10-12,2025-10-13,11.0
29.6,-94.0,29.82006666666667,-93.91525277777777,18,2,2025-10-12,2025-10-13,9.0
30.8,-88.0,31.13853352941177,-87.95326117647059,17,2,2025-10-12,2025-10-13,8.5
35.6,-90.0,35.710608235294124,-89.89416000000001,17,2,2025-10-12,2025-10-13,8.5
30.0,-93.60000000000001,30.152521176470586,-93.3148888235294,17,2,2025-10-12,2025-10-13,8.5
31.200000000000003,-88.0,31.211891333333337,-87.69271733333333,15,1,2025-10-12,2025-10-12,15.0
29.6,-91.2,29.803312000000005,-90.91748000000001,15,1,2025-10-12,2025-10-12,15.0
29.200000000000003,-95.2,29.363769333333334,-94.91233933333334,15,2,2025-10-12,2025-10-13,7.5
30.400000000000002,-91.60000000000001,30.604817142857144,-91.37707714285713,14,2,2025-10-12,2025-10-13,7.0
40.0,-80.0,40.37600928571428,-79.86139857142857,14,2,2025-10-12,2025-10-13,7.0
33.2,-87.60000000000001,33.23518615384616,-87.51032307692306,13,2,2025-10-12,2025-10-13,6.5
31.6,-102.4,31.740426153846155,-102.12856615384614,13,2,2025-10-12,2025-10-13,6.5
27.6,-97.60000000000001,27.881946923076928,-97.32796692307693,13,2,2025-10-12,2025-10-13,6.5
30.0,-94.4,30.118188181818184,-94.12143363636365,11,2,2025-10-12,2025-10-13,5.5
40.400000000000006,-81.60000000000001,40.755978181818186,-81.43901727272727,11,2,2025-10-12,2025-10-13,5.5
41.2,-84.4,41.56853454545455,-84.04970909090909,11,2,2025-10-12,2025-10-13,5.5
30.0,-91.2,30.189179999999997,-91.04188090909092,11,2,2025-10-12,2025-10-13,5.5
46.400000000000006,-84.4,46.52039818181817,-84.38275636363636,11,2,2025-10-12,2025-10-13,5.5
34.4,-87.2,34.63981454545455,-87.08970272727271,11,2,2025-10-12,2025-10-13,5.5
36.800000000000004,-86.80000000000001,37.008137000000005,-86.465192,10,2,2025-10-12,2025-10-13,5.0
25.200000000000003,-100.0,25.585281,-99.93996499999999,10,2,2025-10-12,2025-10-13,5.0
32.4,-86.0,32.406694,-85.907352,10,2,2025-10-12,2025-10-13,5.0
42.0,-83.2,42.28397555555555,-83.12398888888889,9,2,2025-10-12,2025-10-13,4.5
30.0,-90.80000000000001,30.025185555555556,-90.51293777777778,9,2,2025-10-12,2025-10-13,4.5
25.6,-100.4,25.72874,-100.26871222222222,9,2,2025-10-12,2025-10-13,4.5
36.4,-90.4,36.65128222222223,-90.25520444444444,9,1,2025-10-12,2025-10-12,9.0
42.800000000000004,-82.80000000000001,42.93896888888889,-82.42575111111111,9,2,2025-10-12,2025-10-13,4.5
38.400000000000006,-85.2,38.75760375,-85.00853749999999,8,2,2025-10-12,2025-10-13,4.0
36.4,-90.0,36.6389425,-89.65076250000001,8,1,2025-10-12,2025-10-12,8.0
30.0,-91.60000000000001,30.326164999999996,-91.25108250000001,8,2,2025-10-12,2025-10-13,4.0
31.200000000000003,-103.2,31.361308571428573,-103.05976714285714,7,1,2025-10-12,2025-10-12,7.0
37.6,-90.0,37.84741285714286,-89.79391428571428,7,1,2025-10-12,2025-10-12,7.0
42.400000000000006,-111.60000000000001,42.68811857142857,-111.59163999999998,7,2,2025-10-12,2025-10-13,3.5
32.800000000000004,-87.2,33.099112857142856,-86.80534142857144,7,2,2025-10-12,2025-10-13,3.5
32.800000000000004,-92.0,32.88993428571429,-91.78926,7,1,2025-10-12,2025-10-12,7.0
46.400000000000006,-81.2,46.482275714285706,-81.04688285714285,7,2,2025-10-12,2025-10-13,3.5
37.6,-122.4,37.94985833333334,-122.39338833333333,6,2,2025-10-12,2025-10-13,3.0
32.800000000000004,-86.80000000000001,33.18107,-86.75788999999999,6,2,2025-10-12,2025-10-13,3.0
39.6,-87.2,39.977113333333335,-86.83601833333331,6,2,2025-10-12,2025-10-13,3.0
25.6,-101.2,25.60819833333333,-100.90398833333334,6,2,2025-10-12,2025-10-13,3.0
41.2,-83.60000000000001,41.34587833333333,-83.28846333333334,6,2,2025-10-12,2025-10-13,3.0
29.200000000000003,-90.0,29.59781,-89.89350000000002,6,2,2025-10-12,2025-10-13,3.0
36.800000000000004,-89.2,36.894016666666666,-89.18553833333334,6,1,2025-10-12,2025-10-12,6.0
31.200000000000003,-89.60000000000001,31.494878333333332,-89.48533833333335,6,2,2025-10-12,2025-10-13,3.0
38.400000000000006,-83.2,38.599093333333336,-82.82915833333333,6,2,2025-10-12,2025-10-13,3.0
41.2,-85.2,41.36844166666667,-84.92064666666666,6,2,2025-10-12,2025-10-13,3.0
44.800000000000004,-83.60000000000001,45.07211166666667,-83.40686333333332,6,2,2025-10-12,2025-10-13,3.0
38.400000000000006,-90.4,38.642880000000005,-90.12926399999999,5,1,2025-10-12,2025-10-12,5.0
39.2,-84.4,39.475874,-84.389188,5,1,2025-10-12,2025-10-12,5.0
